Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,profit_per_quantity,outlier_status
2011-05-04,4,May,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",3,1519,2443,2625,4557,7182,875.0,not outlier
2012-06-20,20,June,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-06-20,20,June,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",4,1519,2443,3501,6076,9577,875.25,not outlier
2012-07-03,3,July,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-07-03,3,July,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2012-07-04,4,July,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-07-04,4,July,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2012-07-07,7,July,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-07-07,7,July,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2012-07-20,20,July,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-07-20,20,July,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2012-11-25,25,November,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-11-25,25,November,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2012-12-23,23,December,2012,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2011-12-23,23,December,2011,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2013-07-28,28,July,2013,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2015-07-28,28,July,2015,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2014-01-07,7,January,2014,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2016-01-07,7,January,2016,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2014-01-09,9,January,2014,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2016-01-09,9,January,2016,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2014-06-20,20,June,2014,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2016-06-20,20,June,2016,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1750,3038,4788,875.0,not outlier
2014-06-25,25,June,2014,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2016-06-25,25,June,2016,22,Youth (<25),M,United States,California,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,875,1519,2394,875.0,not outlier
2013-05-20,20,May,2013,37,Adults (35-64),M,Germany,Brandenburg,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2015-05-20,20,May,2015,37,Adults (35-64),M,Germany,Brandenburg,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2014-02-20,20,February,2014,37,Adults (35-64),M,Germany,Brandenburg,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2016-02-20,20,February,2016,37,Adults (35-64),M,Germany,Brandenburg,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2014-05-13,13,May,2014,53,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2016-05-13,13,May,2016,53,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2012-05-25,25,May,2012,47,Adults (35-64),F,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,969,3038,4007,484.5,not outlier
2011-05-25,25,May,2011,47,Adults (35-64),F,France,Seine (Paris),Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2013-06-16,16,June,2013,45,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,753,1519,2272,753.0,not outlier
2015-06-16,16,June,2015,45,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,753,1519,2272,753.0,not outlier
2013-07-09,9,July,2013,45,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,753,1519,2272,753.0,not outlier
2015-07-09,9,July,2015,45,Adults (35-64),F,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,753,1519,2272,753.0,not outlier
2012-12-19,19,December,2012,24,Youth (<25),F,France,Garonne (Haute),Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1555,3038,4593,777.5,not outlier
2011-12-19,19,December,2011,24,Youth (<25),F,France,Garonne (Haute),Bikes,Road Bikes,"Road-250 Red, 44",4,1519,2443,3110,6076,9186,777.5,not outlier
2014-02-16,16,February,2014,68,Seniors (64+),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-02-16,16,February,2016,68,Seniors (64+),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2013-12-26,26,December,2013,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2015-12-26,26,December,2015,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",3,1519,2443,1819,4557,6376,606.33333333333337,not outlier
2014-04-17,17,April,2014,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-04-17,17,April,2016,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2014-05-13,13,May,2014,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-05-13,13,May,2016,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2014-06-08,8,June,2014,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-06-08,8,June,2016,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",3,1519,2443,1819,4557,6376,606.33333333333337,not outlier
2014-06-18,18,June,2014,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-06-18,18,June,2016,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2014-06-22,22,June,2014,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-06-22,22,June,2016,37,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1213,3038,4251,606.5,not outlier
2014-02-20,20,February,2014,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-02-20,20,February,2016,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2014-03-16,16,March,2014,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-03-16,16,March,2016,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2014-06-08,8,June,2014,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2016-06-08,8,June,2016,57,Adults (35-64),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2012-01-01,1,January,2012,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2011-01-01,1,January,2011,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2013-09-19,19,September,2013,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2015-09-19,19,September,2015,17,Youth (<25),M,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2013-11-27,27,November,2013,64,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2015-11-27,27,November,2015,64,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2013-09-22,22,September,2013,24,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2015-09-22,22,September,2015,24,Youth (<25),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2012-08-12,12,August,2012,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2011-08-12,12,August,2011,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2012-08-18,18,August,2012,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2011-08-18,18,August,2011,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2012-12-29,29,December,2012,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,1799,3038,4837,899.5,not outlier
2011-12-29,29,December,2011,26,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,900,1519,2419,900.0,not outlier
2013-01-16,16,January,2013,28,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2015-01-16,16,January,2015,28,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2013-03-31,31,March,2013,28,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2015-03-31,31,March,2015,28,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,969,3038,4007,484.5,not outlier
2012-12-26,26,December,2012,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",2,1519,2443,969,3038,4007,484.5,not outlier
2011-12-26,26,December,2011,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2013-02-25,25,February,2013,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2015-02-25,25,February,2015,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2014-03-02,2,March,2014,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2016-03-02,2,March,2016,28,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,484,1519,2003,484.0,not outlier
2013-01-15,15,January,2013,44,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2015-01-15,15,January,2015,44,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Red, 44",3,1519,2443,1819,4557,6376,606.33333333333337,not outlier
2013-02-02,2,February,2013,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Red, 44",1,1519,2443,606,1519,2125,606.0,not outlier
2015-02-02,2,February,2015,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Road Bikes,"Road-250 Red, 44",3,1519,2443,1819,4557,6376,606.33333333333337,not outlier
2012-10-11,11,October,2012,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1799,3038,4837,899.5,not outlier
2011-10-11,11,October,2011,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,900,1519,2419,900.0,not outlier
2013-12-05,5,December,2013,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,900,1519,2419,900.0,not outlier
2015-12-05,5,December,2015,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1799,3038,4837,899.5,not outlier
2014-04-28,28,April,2014,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,900,1519,2419,900.0,not outlier
2016-04-28,28,April,2016,26,Young Adults (25-34),M,Germany,Bayern,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,900,1519,2419,900.0,not outlier
2012-05-03,3,May,2012,32,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-05-03,3,May,2011,32,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2012-02-15,15,February,2012,48,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-02-15,15,February,2011,48,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2012-07-22,22,July,2012,48,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-07-22,22,July,2011,48,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",4,1519,2443,3012,6076,9088,753.0,not outlier
2013-12-03,3,December,2013,26,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2015-12-03,3,December,2015,26,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2012-12-29,29,December,2012,23,Youth (<25),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-12-29,29,December,2011,23,Youth (<25),F,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2259,4557,6816,753.0,not outlier
2012-01-28,28,January,2012,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-01-28,28,January,2011,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",4,1519,2443,3012,6076,9088,753.0,not outlier
2012-06-08,8,June,2012,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2011-06-08,8,June,2011,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2013-01-21,21,January,2013,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2015-01-21,21,January,2015,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2013-05-10,10,May,2013,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2015-05-10,10,May,2015,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1506,3038,4544,753.0,not outlier
2014-02-07,7,February,2014,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2016-02-07,7,February,2016,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2014-02-20,20,February,2014,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2016-02-20,20,February,2016,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2014-03-01,1,March,2014,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2016-03-01,1,March,2016,38,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,753,1519,2272,753.0,not outlier
2013-12-28,28,December,2013,28,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2015-12-28,28,December,2015,28,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2012-05-21,21,May,2012,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1164,3038,4202,582.0,not outlier
2011-05-21,21,May,2011,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2012-07-13,13,July,2012,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1164,3038,4202,582.0,not outlier
2011-07-13,13,July,2011,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",4,1519,2443,2328,6076,8404,582.0,not outlier
2012-07-30,30,July,2012,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1164,3038,4202,582.0,not outlier
2011-07-30,30,July,2011,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",4,1519,2443,2328,6076,8404,582.0,not outlier
2012-08-13,13,August,2012,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1164,3038,4202,582.0,not outlier
2011-08-13,13,August,2011,34,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2014-03-31,31,March,2014,36,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2016-03-31,31,March,2016,36,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2014-06-18,18,June,2014,36,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2016-06-18,18,June,2016,36,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,582,1519,2101,582.0,not outlier
2013-11-25,25,November,2013,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-11-25,25,November,2015,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2479,4557,7036,826.33333333333337,not outlier
2014-02-11,11,February,2014,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2016-02-11,11,February,2016,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2014-03-29,29,March,2014,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2016-03-29,29,March,2016,56,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-09-04,4,September,2012,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-09-04,4,September,2011,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-09-30,30,September,2012,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-09-30,30,September,2011,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2013-03-08,8,March,2013,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-03-08,8,March,2015,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2479,4557,7036,826.33333333333337,not outlier
2013-07-04,4,July,2013,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-07-04,4,July,2015,55,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-07-10,10,July,2012,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-07-10,10,July,2011,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-07-29,29,July,2012,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-07-29,29,July,2011,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-11-08,8,November,2012,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-11-08,8,November,2011,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2012-11-16,16,November,2012,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-11-16,16,November,2011,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2013-01-11,11,January,2013,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-01-11,11,January,2015,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2013-05-08,8,May,2013,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-05-08,8,May,2015,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2013-05-20,20,May,2013,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,826,1519,2345,826.0,not outlier
2015-05-20,20,May,2015,41,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2012-11-28,28,November,2012,59,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-11-28,28,November,2011,59,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2012-12-03,3,December,2012,59,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",2,1519,2443,1653,3038,4691,826.5,not outlier
2011-12-03,3,December,2011,59,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 48",4,1519,2443,3305,6076,9381,826.25,not outlier
